Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-12-31,54.05,54.97,53.99,54.87,6365400.0,0.0,1.0,54.05,54.97,53.99,54.87,6365400.0
2013-12-30,54.45,54.49,53.82,54.01,6119200.0,0.0,1.0,54.45,54.49,53.82,54.01,6119200.0
2013-12-27,54.01,54.48,53.74,54.18,6623100.0,0.0,1.0,54.01,54.48,53.74,54.18,6623100.0
2013-12-26,54.8,54.81,53.71,54.06,10290100.0,0.0,1.0,54.8,54.81,53.71,54.06,10290100.0
2013-12-24,54.74,55.23,54.74,55.17,5520000.0,0.0,1.0,54.74,55.23,54.74,55.17,5520000.0
2013-12-23,54.7,55.32,54.6,55.3,13504300.0,0.0,1.0,54.7,55.32,54.6,55.3,13504300.0
2013-12-20,53.42,54.8,53.37,54.58,17229800.0,0.0,1.0,53.42,54.8,53.37,54.58,17229800.0
2013-12-19,53.12,53.43,52.43,53.4,10219900.0,0.0,1.0,53.12,53.43,52.43,53.4,10219900.0
2013-12-18,52.84,53.18,51.56,53.13,13210000.0,0.0,1.0,52.84,53.18,51.56,53.13,13210000.0
2013-12-17,52.13,53.24,52.0,52.58,15204200.0,0.0,1.0,52.13,53.24,52.0,52.58,15204200.0
2013-12-16,52.24,53.3,52.01,53.11,13066300.0,0.0,1.0,52.24,53.3,52.01,53.11,13066300.0
2013-12-13,51.65,52.17,51.42,51.55,7322500.0,0.0,1.0,51.65,52.17,51.42,51.55,7322500.0
2013-12-12,51.24,51.96,51.19,51.37,8126500.0,0.0,1.0,51.24,51.96,51.19,51.37,8126500.0
2013-12-11,51.87,52.07,51.31,51.37,8226500.0,0.0,1.0,51.87,52.07,51.31,51.37,8226500.0
2013-12-10,51.63,52.3,51.62,51.92,9549700.0,0.0,1.0,51.63,52.3,51.62,51.92,9549700.0
2013-12-09,52.0,52.25,51.56,51.69,7912200.0,0.0,1.0,52.0,52.25,51.56,51.69,7912200.0
2013-12-06,51.72,52.41,51.7,52.01,9424400.0,0.0,1.0,51.72,52.41,51.7,52.01,9424400.0
2013-12-05,51.08,51.65,50.83,51.41,9928600.0,0.0,1.0,51.08,51.65,50.83,51.41,9928600.0
2013-12-04,51.29,51.54,50.51,51.09,15464500.0,0.0,1.0,51.29,51.54,50.51,51.09,15464500.0
2013-12-03,51.85,52.23,51.27,51.93,14467900.0,0.0,1.0,51.85,52.23,51.27,51.93,14467900.0
2013-12-02,52.21,53.08,51.23,51.35,24811400.0,0.0,1.0,52.21,53.08,51.23,51.35,24811400.0
2013-11-29,49.77,50.75,49.71,50.52,9636600.0,0.0,1.0,49.77,50.75,49.71,50.52,9636600.0
2013-11-27,49.29,49.86,49.15,49.3,12640200.0,0.0,1.0,49.29,49.86,49.15,49.3,12640200.0
2013-11-26,49.26,49.27,48.06,48.76,23427500.0,0.0,1.0,49.26,49.27,48.06,48.76,23427500.0
2013-11-25,50.72,50.74,48.47,49.04,34903500.0,0.0,1.0,50.72,50.74,48.47,49.04,34903500.0
2013-11-22,50.27,50.52,50.18,50.33,13715700.0,0.0,1.0,50.27,50.52,50.18,50.33,13715700.0
2013-11-21,50.77,50.8,49.93,50.21,17609600.0,0.0,1.0,50.77,50.8,49.93,50.21,17609600.0
2013-11-20,52.48,52.5,49.86,50.39,34262800.0,0.0,1.0,52.48,52.5,49.86,50.39,34262800.0
2013-11-19,52.43,52.5,51.94,52.13,10263300.0,0.0,1.0,52.43,52.5,51.94,52.13,10263300.0
2013-11-18,52.33,52.69,51.73,52.08,12753900.0,0.0,1.0,52.33,52.69,51.73,52.08,12753900.0
2013-11-15,53.02,53.12,52.32,52.6,10586100.0,0.0,1.0,53.02,53.12,52.32,52.6,10586100.0
2013-11-14,53.1,53.48,52.68,52.88,10519100.0,0.0,1.0,53.1,53.48,52.68,52.88,10519100.0
2013-11-13,52.6,53.04,52.47,53.03,7654500.0,0.0,1.0,52.6,53.04,52.47,53.03,7654500.0
2013-11-12,52.05,53.2,51.96,52.83,10732600.0,0.0,1.0,52.05,53.2,51.96,52.83,10732600.0
2013-11-11,52.63,53.08,52.5,52.82,6898900.0,0.0,1.0,52.63,53.08,52.5,52.82,6898900.0
2013-11-08,52.84,53.17,52.47,53.0,9801600.0,0.0,1.0,52.84,53.17,52.47,53.0,9801600.0
2013-11-07,53.5,53.85,52.31,52.57,9678000.0,0.0,1.0,53.5,53.85,52.31,52.57,9678000.0
2013-11-06,51.57,53.82,51.12,53.28,25126800.0,0.0,1.0,51.57,53.82,51.12,53.28,25126800.0
2013-11-05,51.27,51.34,50.52,51.08,11340700.0,0.0,1.0,51.27,51.34,50.52,51.08,11340700.0
2013-11-04,51.99,52.28,51.31,51.37,8826800.0,0.0,1.0,51.99,52.28,51.31,51.37,8826800.0
2013-11-01,52.94,52.99,51.85,51.94,12346700.0,0.0,1.0,52.94,52.99,51.85,51.94,12346700.0
2013-10-31,52.73,52.93,52.25,52.71,9047500.0,0.0,1.0,52.73,52.93,52.25,52.71,9047500.0
2013-10-30,53.51,53.51,52.52,52.73,8700100.0,0.0,1.0,53.51,53.51,52.52,52.73,8700100.0
2013-10-29,52.29,53.37,52.08,53.34,12250900.0,0.0,1.0,52.29,53.37,52.08,53.34,12250900.0
2013-10-28,51.8,52.28,51.46,51.97,8541900.0,0.0,1.0,51.8,52.28,51.46,51.97,8541900.0
2013-10-25,52.59,52.92,51.05,51.64,15838100.0,0.0,1.0,52.59,52.92,51.05,51.64,15838100.0
2013-10-24,52.07,52.51,51.85,52.34,9697200.0,0.0,1.0,52.07,52.51,51.85,52.34,9697200.0
2013-10-23,51.75,52.28,51.57,51.73,8359100.0,0.0,1.0,51.75,52.28,51.57,51.73,8359100.0
2013-10-22,52.31,52.36,51.57,51.83,11150400.0,0.0,1.0,52.31,52.36,51.57,51.83,11150400.0
2013-10-21,52.43,52.59,51.6,51.94,14252400.0,0.0,1.0,52.43,52.59,51.6,51.94,14252400.0
2013-10-18,51.58,52.68,50.46,52.2,30618800.0,0.0,1.0,51.58,52.68,50.46,52.2,30618800.0
2013-10-17,50.33,51.87,50.23,51.38,34376200.0,0.0,1.0,50.33,51.87,50.23,51.38,34376200.0
2013-10-16,54.44,54.44,53.16,53.52,19320600.0,0.0,1.0,54.44,54.44,53.16,53.52,19320600.0
