Date,Open,High,Low,Close,Volume,Adj Close
1989-12-01,346.01,354.10,339.63,353.40,167968000,353.40
1989-11-01,340.36,346.50,330.91,345.99,151683800,345.99
1989-10-02,349.15,360.44,327.12,340.36,190398600,340.36
1989-09-01,351.45,354.13,341.37,349.15,159516000,349.15
1989-08-01,346.08,352.73,339.00,351.45,177996500,351.45
1989-07-03,317.98,346.08,317.26,346.08,170784000,346.08
1989-06-01,320.51,329.19,314.38,317.98,188049000,317.98
1989-05-01,309.64,323.06,304.06,320.52,177720400,320.52
1989-04-03,294.87,310.45,294.35,309.64,169782000,309.64
1989-03-01,288.86,299.99,286.46,294.87,167067700,294.87
1989-02-01,297.47,300.57,286.26,288.86,177037300,288.86
1989-01-03,277.72,297.51,273.81,297.47,177441400,297.47
1988-12-01,273.68,280.45,270.47,277.72,141529000,277.72
1988-11-01,278.97,280.37,262.85,273.70,141934700,273.70
1988-10-03,271.89,283.95,268.84,278.97,169458000,278.97
1988-09-01,261.52,274.87,256.98,271.91,154057100,271.91
1988-08-01,272.03,274.20,256.53,261.52,150345600,261.52
1988-07-01,273.50,276.36,262.48,272.02,176540500,272.02
1988-06-01,262.16,276.88,262.10,273.50,206096300,273.50
1988-05-02,261.36,263.70,248.85,262.16,165665700,262.16
1988-04-04,258.89,272.05,254.71,261.33,169819000,261.33
1988-03-01,267.82,272.64,256.07,258.89,182297300,258.89
1988-02-01,257.05,267.82,247.82,267.82,196464500,267.82
1988-01-04,247.10,261.78,240.17,257.07,185329000,257.07
1987-12-01,230.32,253.35,221.24,247.08,186222200,247.08
1987-11-02,251.73,257.21,225.75,230.30,192922000,230.30
1987-10-01,321.83,328.94,216.46,251.79,290813600,251.79
1987-09-01,329.81,332.18,308.56,321.83,186014200,321.83
1987-08-03,318.62,337.89,314.51,329.80,201342800,329.80
1987-07-01,303.99,318.85,302.53,318.66,188559000,318.66
1987-06-01,290.12,310.27,286.93,304.00,170931800,304.00
1987-05-01,286.99,298.69,277.01,290.10,178560000,290.10
1987-04-01,291.59,303.65,275.67,288.36,195942800,288.36
1987-03-02,284.17,302.72,282.30,291.70,188040900,291.70
1987-02-02,274.08,287.55,273.16,284.20,190952600,284.20
1987-01-02,242.17,280.96,242.17,274.08,200203800,274.08
1986-12-01,249.22,254.87,241.28,242.17,154548600,242.17
1986-11-03,243.97,249.22,235.51,249.22,159703100,249.22
1986-10-01,231.32,244.51,231.32,243.98,137562600,243.98
1986-09-02,252.93,254.13,228.08,231.32,156723800,231.32
1986-08-01,236.12,254.24,231.92,252.93,134628500,252.93
1986-07-01,250.67,253.20,233.07,236.12,142845400,236.12
1986-06-02,246.04,251.81,238.23,250.84,132604700,250.84
1986-05-01,235.52,249.19,232.26,247.35,134830400,247.35
1986-04-01,238.90,245.47,226.30,235.52,153995400,235.52
1986-03-03,226.92,240.11,222.18,238.90,167450000,238.90
1986-02-03,211.78,227.92,210.82,226.92,162673600,226.92
1986-01-02,211.28,214.57,202.60,211.78,137386800,211.78
1985-12-02,202.17,213.08,200.10,211.28,138908500,211.28
1985-11-01,189.82,203.40,189.37,202.17,126471500,202.17
1985-10-01,182.06,190.15,181.16,189.82,115858200,189.82
1985-09-03,188.63,188.80,179.45,182.08,103355700,182.08
1985-08-01,190.92,192.17,186.10,188.63,91128100,188.63
1985-07-01,191.85,196.07,189.30,190.92,117603100,190.92
1985-06-03,189.55,191.85,185.03,191.85,111110000,191.85
1985-05-01,179.83,189.98,178.35,189.55,112929000,189.55
1985-04-01,180.66,183.61,177.86,179.83,99699000,179.83
1985-03-01,181.18,183.89,176.53,180.66,107356600,180.66
1985-02-01,179.63,183.95,177.75,181.18,120806300,181.18
1985-01-02,167.20,180.27,163.36,179.63,127555000,179.63
1984-12-03,163.58,169.03,161.54,167.24,93063000,167.24
1984-11-01,166.09,170.41,162.99,163.58,87374200,163.58
1984-10-01,166.10,169.62,160.02,166.09,95744300,166.09
1984-09-04,166.68,169.65,163.06,166.10,97242600,166.10
1984-08-01,150.66,168.80,150.66,166.68,112364300,166.68
1984-07-02,153.16,153.87,147.26,150.66,83290900,150.66
1984-06-01,150.55,155.64,148.53,153.18,90649500,153.18
1984-05-01,160.05,162.11,148.68,150.55,91883600,150.55
1984-04-02,159.18,160.69,154.12,160.05,89513500,160.05
1984-03-01,157.06,160.46,153.77,159.18,87568600,159.18
1984-02-01,163.41,164.00,152.13,157.06,101281000,157.06
1984-01-03,164.93,169.54,162.03,163.41,110912800,163.41
1983-12-01,166.37,166.77,161.58,164.93,91461900,164.93
1983-11-01,163.55,168.07,161.63,166.40,92130400,166.40
1983-10-03,165.99,172.65,162.86,163.55,89241900,163.55
1983-09-01,164.40,170.41,163.95,166.07,86222300,166.07
1983-08-01,162.34,165.91,158.50,164.40,77705600,164.40
1983-07-01,168.11,170.72,161.50,162.56,84270500,162.56
1983-06-01,162.38,171.60,160.80,167.64,93189500,167.64
1983-05-02,164.41,166.99,160.29,162.39,96525700,162.39
1983-04-04,152.92,164.43,150.17,164.43,94631000,164.43
1983-03-01,148.07,155.02,148.07,152.96,87064700,152.96
1983-02-01,145.29,150.88,141.90,148.06,89431500,148.06
1983-01-03,140.65,148.36,138.08,145.30,91654200,145.30
1982-12-01,138.56,143.68,134.79,140.64,78372200,140.64
1982-11-01,133.72,144.36,132.89,138.53,92881400,138.53
1982-10-01,120.40,140.40,120.15,133.72,102066100,133.72
1982-09-01,119.52,126.43,117.84,120.42,76697600,120.42
1982-08-02,107.71,120.26,102.20,119.51,79960400,119.51
1982-07-01,109.52,112.39,105.57,107.09,56402800,107.09
1982-06-01,111.97,112.48,107.01,109.61,53445900,109.61
1982-05-03,115.96,119.92,111.66,111.88,53518000,111.88
1982-04-01,111.96,119.33,111.48,116.44,56413800,116.44
1982-03-01,113.11,114.80,104.46,111.96,57043000,111.96
1982-02-01,119.81,119.81,110.03,113.11,53475200,113.11
1982-01-04,122.55,123.72,113.63,120.40,52087000,120.40
1981-12-01,126.35,127.32,121.04,122.55,45465900,122.55
1981-11-02,122.35,126.97,119.13,126.35,51775000,126.35
